Category,Average Maximum Surface Air Temperature (Annual Mean °C),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor),Region,Precipitation (mm),Average Maximum Surface Air Temperature (°C),Average Mean Surface Air Temperature (°C),Average Minimum Surface Air Temperature (°C)
1993,20.73,14.59,8.49,167.56,0.84,12.61,28.67,0.06,50.84,0.08,Buxoro,,,,
1994,21.75,15.27,8.84,139.74,0.5,12.64,22.06,1.24,49.94,0.08,Buxoro,,,,
1995,23.41,16.49,9.61,87.43,-0.64,10.23,20.69,0.0,45.21,0.12,Buxoro,,,,
1996,21.83,15.11,8.42,93.98,-1.07,11.45,17.55,2.58,45.0,0.08,Buxoro,,,,
1997,22.84,16.2,9.6,155.65,-0.43,9.91,21.59,0.18,48.54,0.14,Buxoro,,,,
1998,22.32,15.8,9.33,175.22,0.56,14.58,24.07,8.11,48.42,0.1,Buxoro,,,,
1999,23.32,16.6,9.92,124.34,-0.98,10.11,15.63,0.0,47.11,0.09,Buxoro,,,,
2000,23.16,16.42,9.72,113.78,-1.7,7.99,17.15,0.0,46.21,0.1,Buxoro,,,,
2001,23.22,16.58,9.98,116.1,-1.6,11.81,15.63,0.07,47.13,0.08,Buxoro,,,,
2002,23.05,16.45,9.9,171.22,-0.08,15.98,29.24,3.44,48.21,0.14,Buxoro,,,,
2003,21.81,15.72,9.67,196.49,0.85,18.0,24.77,5.67,51.38,0.09,Buxoro,,,,
2004,23.22,16.81,10.43,159.5,-0.42,11.54,19.09,1.09,47.83,0.09,Buxoro,,,,
2005,22.94,16.41,9.92,160.17,0.16,13.97,32.94,0.44,48.03,0.14,Buxoro,,,,
2006,22.83,16.34,9.88,132.49,-1.15,13.47,19.32,2.73,45.96,0.1,Buxoro,,,,
2007,22.92,16.31,9.74,141.7,-1.3,12.4,23.95,0.43,44.81,0.1,Buxoro,,,,
2008,22.41,15.83,9.28,99.73,-1.89,6.87,10.86,0.0,45.17,0.15,Buxoro,,,,
2009,22.54,16.24,10.0,164.75,-0.39,17.77,27.05,3.81,49.38,0.06,Buxoro,,,,
2010,23.62,16.92,10.26,98.96,-0.74,10.8,18.32,1.09,44.48,0.14,Buxoro,,,,
2011,22.11,15.83,9.59,122.95,-1.94,12.39,20.95,4.19,45.63,0.15,Buxoro,,,,
2012,22.14,15.67,9.24,138.07,-0.37,16.91,22.08,3.84,44.5,0.13,Buxoro,,,,
2013,23.27,16.77,10.31,155.43,-1.1,18.19,25.13,8.14,45.64,0.1,Buxoro,,,,
2014,22.16,15.55,8.97,139.24,-1.19,10.06,18.95,0.0,44.55,0.14,Buxoro,,,,
2015,22.91,16.65,10.44,159.08,-0.8,13.7,35.59,1.23,46.43,0.19,Buxoro,,,,
2016,23.47,17.09,10.76,165.82,-1.2,10.15,12.78,0.03,45.56,0.11,Buxoro,,,,
2017,22.8,16.34,9.92,145.29,-0.44,14.1,31.22,2.18,45.21,0.14,Buxoro,,,,
2018,22.91,16.54,10.2,116.46,-1.56,15.06,20.79,1.38,42.59,0.17,Buxoro,,,,
2019,23.28,17.01,10.79,170.01,-0.61,11.0,23.02,0.0,44.89,0.2,Buxoro,,,,
2020,22.25,15.96,9.72,139.2,-0.98,19.44,24.32,11.51,44.68,0.14,Buxoro,,,,
2021,23.9,17.15,10.45,83.21,-1.86,13.61,20.14,0.08,40.52,0.23,Buxoro,,,,
2022,23.41,17.35,11.34,144.68,-1.61,12.94,28.06,0.0,45.05,0.17,Buxoro,,,,
2023,24.52,17.98,11.48,101.25,-2.04,11.84,18.46,4.29,41.43,0.16,Buxoro,,,,
2024,22.97,16.98,11.04,139.37,-1.01,15.5,19.59,6.75,46.98,0.1,Buxoro,,,,
1901,19.14,12.54,5.97,394.91,,,,,,,Fargona,,,,
1902,19.93,13.34,6.77,534.57,,,,,,,Fargona,,,,
1903,18.19,11.72,5.29,360.19,,,,,,,Fargona,,,,
1904,19.12,12.3,5.51,338.25,,,,,,,Fargona,,,,
1905,18.52,12.05,5.61,325.64,,,,,,,Fargona,,,,
1906,19.28,12.79,6.35,322.59,,,,,,,Fargona,,,,
1907,18.13,11.88,5.66,396.69,,,,,,,Fargona,,,,
1908,19.27,12.58,5.93,405.01,,,,,,,Fargona,,,,
1909,20.46,13.43,6.45,259.6,,,,,,,Fargona,,,,
1910,19.22,12.74,6.29,381.57,,,,,,,Fargona,,,,
1911,18.69,12.1,5.54,389.22,,,,,,,Fargona,,,,
1912,20.07,12.98,5.94,339.35,,,,,,,Fargona,,,,
1913,19.18,13.01,6.89,324.15,,,,,,,Fargona,,,,
1914,19.91,13.81,7.75,366.3,,,,,,,Fargona,,,,
1915,20.58,14.45,8.35,262.49,,,,,,,Fargona,,,,
1916,18.56,12.17,5.82,231.92,,,,,,,Fargona,,,,
1917,20.03,13.59,7.18,111.54,,,,,,,Fargona,,,,
1918,18.84,11.94,5.08,304.07,,,,,,,Fargona,,,,
1919,19.06,12.03,5.03,270.7,,,,,,,Fargona,,,,
1920,16.74,11.0,5.28,437.71,,,,,,,Fargona,,,,
1921,18.18,12.01,5.87,473.38,,,,,,,Fargona,,,,
1922,19.62,13.16,6.75,352.92,,,,,,,Fargona,,,,
1923,18.42,11.89,5.39,397.83,,,,,,,Fargona,,,,
1924,18.94,12.36,5.82,376.3,,,,,,,Fargona,,,,
1925,20.26,13.18,6.15,239.96,,,,,,,Fargona,,,,
1926,19.31,12.92,6.57,253.56,,,,,,,Fargona,,,,
1927,19.15,12.82,6.53,208.04,,,,,,,Fargona,,,,
1928,17.74,11.76,5.82,454.95,,,,,,,Fargona,,,,
1929,17.81,11.51,5.24,318.47,,,,,,,Fargona,,,,
1930,17.77,11.73,5.73,291.55,,,,,,,Fargona,,,,
1931,17.55,11.79,6.05,374.36,,,,,,,Fargona,,,,
1932,17.97,12.0,6.05,371.21,,,,,,,Fargona,,,,
