Category,Average Maximum Surface Air Temperature (Annual Mean °C),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor),Region,Precipitation (mm),Average Maximum Surface Air Temperature (°C),Average Mean Surface Air Temperature (°C),Average Minimum Surface Air Temperature (°C)
1938,22.57,15.72,8.91,349.06,,,,,,,Sirdaryo,,,,
1939,22.97,16.09,9.26,330.48,,,,,,,Sirdaryo,,,,
1940,23.41,16.47,9.57,368.55,,,,,,,Sirdaryo,,,,
1941,24.05,17.01,10.0,485.84,,,,,,,Sirdaryo,,,,
1942,22.5,15.77,9.09,521.63,,,,,,,Sirdaryo,,,,
1943,21.55,14.91,8.31,515.86,,,,,,,Sirdaryo,,,,
1944,23.18,16.2,9.27,245.29,,,,,,,Sirdaryo,,,,
1945,21.68,14.95,8.26,486.7,,,,,,,Sirdaryo,,,,
1946,22.5,15.47,8.48,306.39,,,,,,,Sirdaryo,,,,
1947,23.19,16.15,9.17,410.23,,,,,,,Sirdaryo,,,,
1948,22.41,15.46,8.57,362.72,,,,,,,Sirdaryo,,,,
1949,20.57,14.12,7.7,467.75,,,,,,,Sirdaryo,,,,
1950,21.3,14.33,7.39,264.96,,16.94,39.65,3.06,51.86,0.05,Sirdaryo,,,,
1951,21.51,15.0,8.53,441.78,0.05,25.79,44.57,15.89,58.79,0.04,Sirdaryo,,,,
1952,21.88,15.36,8.88,500.89,0.8,21.53,38.11,9.31,57.58,0.05,Sirdaryo,,,,
1953,21.8,15.53,9.31,665.5,0.9,33.7,54.41,15.64,58.07,0.04,Sirdaryo,,,,
1954,20.95,14.45,7.98,396.37,1.76,24.22,54.46,16.47,58.62,0.02,Sirdaryo,,,,
1955,23.42,16.34,9.31,444.56,0.1,27.81,44.79,23.77,50.6,0.11,Sirdaryo,,,,
1956,22.2,15.42,8.66,394.77,0.29,24.88,53.74,12.67,53.48,0.07,Sirdaryo,,,,
1957,20.81,14.35,7.95,392.09,-0.3,23.13,42.18,9.56,56.84,0.05,Sirdaryo,,,,
1958,22.24,15.81,9.45,551.79,0.76,22.34,52.83,13.41,53.3,0.1,Sirdaryo,,,,
1959,21.53,15.16,8.84,460.33,0.83,24.73,56.77,13.8,58.83,0.01,Sirdaryo,,,,
1960,21.4,14.97,8.59,538.6,0.82,26.52,37.92,9.86,59.63,0.03,Sirdaryo,,,,
1961,22.96,16.14,9.37,365.94,-0.57,22.12,37.22,14.52,49.95,0.1,Sirdaryo,,,,
1962,22.29,15.69,9.13,420.96,-0.78,19.73,41.25,7.74,53.64,0.1,Sirdaryo,,,,
1963,23.11,16.44,9.82,466.91,0.16,17.87,39.17,5.45,54.08,0.07,Sirdaryo,,,,
1964,21.13,14.58,8.06,453.87,1.07,26.14,46.52,14.05,56.83,0.02,Sirdaryo,,,,
1965,22.55,16.01,9.5,409.78,-0.13,42.73,54.95,16.95,54.31,0.06,Sirdaryo,,,,
1966,22.82,16.26,9.75,392.91,-0.63,25.42,41.41,15.93,53.68,0.09,Sirdaryo,,,,
1967,21.95,15.64,9.37,462.96,-0.45,28.22,59.0,17.16,55.27,0.08,Sirdaryo,,,,
1968,21.92,15.67,9.46,499.36,0.3,23.84,43.15,15.88,56.03,0.1,Sirdaryo,,,,
1969,20.13,14.19,8.28,875.25,2.15,29.0,60.86,24.53,65.26,0.03,Sirdaryo,,,,
1970,22.68,16.05,9.46,386.22,0.4,22.98,33.21,9.0,55.37,0.07,Sirdaryo,,,,
1971,23.21,16.39,9.63,321.24,-1.04,25.53,40.35,14.68,52.48,0.06,Sirdaryo,,,,
1972,19.87,13.71,7.6,506.05,0.19,17.6,40.79,3.94,59.68,0.02,Sirdaryo,,,,
1973,22.35,15.82,9.33,385.86,0.48,21.55,38.29,15.61,56.21,0.07,Sirdaryo,,,,
1974,21.19,14.9,8.66,314.93,-0.54,19.44,37.28,6.98,54.48,0.11,Sirdaryo,,,,
1975,22.29,15.8,9.36,340.6,-1.81,18.91,37.04,8.11,49.07,0.14,Sirdaryo,,,,
1976,21.43,15.3,9.21,468.86,-0.3,22.31,40.09,20.39,58.13,0.07,Sirdaryo,,,,
1977,22.38,16.21,10.07,525.11,-0.65,44.15,88.12,19.03,56.48,0.12,Sirdaryo,,,,
1978,22.06,15.86,9.69,535.01,0.79,24.37,45.62,14.9,59.92,0.04,Sirdaryo,,,,
1979,22.37,16.13,9.95,505.06,1.3,28.0,66.89,26.12,60.64,0.05,Sirdaryo,,,,
1980,22.46,16.19,9.97,395.8,-0.19,15.6,27.98,1.8,57.63,0.09,Sirdaryo,,,,
1981,22.5,16.39,10.33,480.07,0.27,20.22,37.65,6.31,57.09,0.07,Sirdaryo,,,,
1982,21.63,15.49,9.39,433.07,-0.4,19.04,32.55,11.46,57.43,0.05,Sirdaryo,,,,
1983,23.11,16.65,10.24,366.14,-0.65,19.65,27.34,6.41,51.92,0.14,Sirdaryo,,,,
1984,21.23,15.07,8.95,458.17,-0.19,23.31,43.54,10.81,58.62,0.08,Sirdaryo,,,,
1985,22.14,15.83,9.56,397.08,0.34,28.91,42.97,10.75,56.25,0.08,Sirdaryo,,,,
1986,22.45,16.13,9.86,313.61,-1.06,20.26,28.76,6.83,53.95,0.06,Sirdaryo,,,,
1987,22.15,16.07,10.03,590.32,0.79,23.95,60.45,23.75,60.41,0.04,Sirdaryo,,,,
1988,23.09,16.7,10.36,391.46,0.52,18.41,37.71,7.07,56.64,0.13,Sirdaryo,,,,
1989,22.22,15.72,9.26,353.44,-0.66,20.97,53.27,9.61,55.53,0.08,Sirdaryo,,,,
1990,22.71,16.43,10.2,461.71,0.13,18.06,30.17,5.44,59.67,0.07,Sirdaryo,,,,
1991,22.07,16.01,10.0,500.82,0.25,18.77,58.99,6.61,58.36,0.06,Sirdaryo,,,,
1992,21.79,15.81,9.89,501.68,0.76,26.69,39.93,16.14,58.49,0.03,Sirdaryo,,,,
1993,20.93,15.04,9.19,713.2,1.13,21.88,51.06,12.09,62.14,0.06,Sirdaryo,,,,
1994,22.03,15.78,9.55,491.87,0.99,23.7,32.54,13.47,58.41,0.06,Sirdaryo,,,,
1995,23.49,16.79,10.14,306.58,-0.44,18.18,31.66,10.33,54.22,0.1,Sirdaryo,,,,
1996,21.95,15.53,9.15,332.68,-0.38,17.55,38.92,2.92,56.08,0.08,Sirdaryo,,,,
1997,23.25,16.79,10.37,471.94,-0.32,21.16,45.1,11.75,57.73,0.14,Sirdaryo,,,,
1998,22.56,16.38,10.25,655.1,1.0,33.54,66.0,18.5,60.34,0.12,Sirdaryo,,,,
1999,23.21,16.97,10.79,534.66,0.4,23.52,35.08,16.8,55.29,0.1,Sirdaryo,,,,
2000,23.22,16.87,10.58,355.28,-1.17,15.76,27.69,0.05,55.08,0.08,Sirdaryo,,,,
2001,23.53,17.07,10.66,355.44,-1.09,23.32,26.98,8.58,54.07,0.09,Sirdaryo,,,,
2002,23.33,16.94,10.6,593.89,0.91,38.63,51.22,20.3,62.32,0.07,Sirdaryo,,,,
2003,22.21,16.29,10.42,626.45,1.45,31.49,76.21,18.21,62.09,0.04,Sirdaryo,,,,
2004,23.53,17.38,11.28,563.03,0.6,27.11,58.53,14.31,57.46,0.1,Sirdaryo,,,,
2005,23.21,16.96,10.75,431.05,0.06,29.75,43.95,17.17,55.75,0.14,Sirdaryo,,,,
2006,23.17,16.93,10.71,455.04,-1.39,18.55,42.65,8.18,55.13,0.1,Sirdaryo,,,,
2007,23.36,16.99,10.67,446.48,-0.69,24.97,55.46,10.4,58.46,0.08,Sirdaryo,,,,
2008,22.72,16.42,10.16,405.82,-1.3,21.18,34.01,10.01,57.91,0.11,Sirdaryo,,,,
2009,23.09,16.88,10.73,543.61,0.21,24.22,37.94,12.89,58.11,0.07,Sirdaryo,,,,
2010,23.91,17.51,11.16,437.3,0.53,20.35,37.2,11.42,57.74,0.1,Sirdaryo,,,,
2011,22.71,16.51,10.35,491.1,-1.57,19.79,54.23,5.93,56.17,0.13,Sirdaryo,,,,
2012,22.54,16.18,9.84,458.9,-0.11,17.84,44.05,6.66,55.69,0.08,Sirdaryo,,,,
2013,23.94,17.41,10.93,486.85,-0.8,22.22,40.49,12.08,53.39,0.15,Sirdaryo,,,,
2014,22.85,16.1,9.4,477.74,-0.47,19.03,40.65,4.64,54.97,0.16,Sirdaryo,,,,
2015,23.61,17.35,11.13,531.18,-0.56,18.49,47.3,3.64,54.85,0.18,Sirdaryo,,,,
2016,24.21,17.71,11.27,493.66,-0.72,15.09,36.05,1.35,54.68,0.16,Sirdaryo,,,,
2017,23.41,16.93,10.49,386.56,-0.1,25.21,54.2,9.19,53.73,0.15,Sirdaryo,,,,
2018,23.59,16.98,10.41,411.04,-1.17,34.72,41.36,13.14,53.54,0.16,Sirdaryo,,,,
2019,24.17,17.65,11.16,515.46,-0.16,18.25,44.64,2.82,53.49,0.21,Sirdaryo,,,,
2020,23.09,16.59,10.14,433.47,-0.51,24.92,48.7,14.87,54.05,0.13,Sirdaryo,,,,
2021,24.51,17.69,10.92,326.94,-1.62,29.31,62.99,13.75,47.73,0.28,Sirdaryo,,,,
2022,23.78,17.94,12.15,605.3,-1.21,24.11,59.29,14.0,55.88,0.17,Sirdaryo,,,,
2023,24.89,18.5,12.15,332.55,-0.9,19.44,50.45,9.05,51.98,0.18,Sirdaryo,,,,
2024,23.78,17.64,11.53,539.12,-1.05,25.66,44.95,12.77,54.43,0.19,Sirdaryo,,,,
1901,20.36,13.36,6.39,277.75,,,,,,,Surxondaryo,,,,
1902,20.74,13.81,6.92,361.62,,,,,,,Surxondaryo,,,,
1903,19.12,12.31,5.53,417.18,,,,,,,Surxondaryo,,,,
1904,19.61,12.72,5.86,378.14,,,,,,,Surxondaryo,,,,
1905,19.29,12.57,5.88,264.65,,,,,,,Surxondaryo,,,,
1906,20.05,13.21,6.41,417.67,,,,,,,Surxondaryo,,,,
1907,19.13,12.38,5.66,499.3,,,,,,,Surxondaryo,,,,
1908,19.94,13.03,6.14,431.46,,,,,,,Surxondaryo,,,,
1909,21.22,13.93,6.69,305.46,,,,,,,Surxondaryo,,,,
1910,20.07,13.15,6.27,343.4,,,,,,,Surxondaryo,,,,
1911,19.54,12.54,5.58,411.29,,,,,,,Surxondaryo,,,,
1912,20.57,13.36,6.18,396.91,,,,,,,Surxondaryo,,,,
1913,20.04,13.42,6.85,384.61,,,,,,,Surxondaryo,,,,
1914,20.96,14.16,7.41,410.16,,,,,,,Surxondaryo,,,,
1915,21.81,14.79,7.81,288.65,,,,,,,Surxondaryo,,,,
1916,19.5,12.59,5.69,323.1,,,,,,,Surxondaryo,,,,
1917,20.99,13.9,6.85,91.75,,,,,,,Surxondaryo,,,,
1918,19.58,12.56,5.57,364.54,,,,,,,Surxondaryo,,,,
1919,19.89,12.6,5.34,425.63,,,,,,,Surxondaryo,,,,
1920,18.03,11.62,5.25,443.93,,,,,,,Surxondaryo,,,,
1921,19.2,12.53,5.9,399.46,,,,,,,Surxondaryo,,,,
1922,20.66,13.68,6.74,393.98,,,,,,,Surxondaryo,,,,
1923,19.29,12.44,5.63,486.47,,,,,,,Surxondaryo,,,,
1924,19.76,12.79,5.85,479.41,,,,,,,Surxondaryo,,,,
1925,21.04,13.65,6.3,266.13,,,,,,,Surxondaryo,,,,
1926,20.31,13.41,6.53,382.55,,,,,,,Surxondaryo,,,,
1927,20.18,13.32,6.5,268.71,,,,,,,Surxondaryo,,,,
1928,18.73,12.24,5.77,284.65,,,,,,,Surxondaryo,,,,
1929,18.75,12.05,5.38,311.6,,,,,,,Surxondaryo,,,,
1930,18.78,12.2,5.64,306.24,,,,,,,Surxondaryo,,,,
1931,18.33,12.13,5.96,485.97,,,,,,,Surxondaryo,,,,
1932,18.92,12.42,5.95,331.77,,,,,,,Surxondaryo,,,,
1933,19.42,12.83,6.26,431.13,,,,,,,Surxondaryo,,,,
1934,18.21,11.78,5.38,493.73,,,,,,,Surxondaryo,,,,
1935,19.08,12.43,5.81,389.95,,,,,,,Surxondaryo,,,,
1936,20.29,13.01,5.76,298.28,,,,,,,Surxondaryo,,,,
1937,19.36,12.25,5.17,380.41,,,,,,,Surxondaryo,,,,
1938,20.49,13.36,6.27,395.99,,,,,,,Surxondaryo,,,,
1939,20.78,13.66,6.57,401.99,,,,,,,Surxondaryo,,,,
1940,21.32,14.24,7.2,380.65,,,,,,,Surxondaryo,,,,
1941,21.92,14.72,7.56,495.24,,,,,,,Surxondaryo,,,,
1942,20.55,13.6,6.69,477.76,,,,,,,Surxondaryo,,,,
1943,19.44,12.6,5.79,459.87,,,,,,,Surxondaryo,,,,
1944,21.13,13.94,6.79,244.2,,,,,,,Surxondaryo,,,,
1945,19.68,12.74,5.84,459.43,,,,,,,Surxondaryo,,,,
1946,20.53,13.27,6.04,251.74,,,,,,,Surxondaryo,,,,
1947,21.35,14.06,6.8,304.59,,,,,,,Surxondaryo,,,,
1948,20.38,13.23,6.13,362.1,,,,,,,Surxondaryo,,,,
1949,18.6,11.87,5.17,407.4,,,,,,,Surxondaryo,,,,
1950,19.3,12.09,4.92,313.94,,21.31,63.85,10.22,48.25,0.07,Surxondaryo,,,,
1951,19.61,12.78,5.98,400.73,0.52,22.63,44.69,9.57,53.43,0.04,Surxondaryo,,,,
1952,19.89,13.09,6.32,471.72,0.99,20.13,54.75,9.64,51.36,0.05,Surxondaryo,,,,
1953,19.73,13.23,6.75,565.54,0.98,21.49,51.42,8.73,53.47,0.06,Surxondaryo,,,,
1954,19.1,12.35,5.63,363.3,2.47,26.21,72.12,12.42,52.1,0.02,Surxondaryo,,,,
1955,21.46,14.15,6.88,344.64,0.04,22.84,53.49,9.7,47.18,0.12,Surxondaryo,,,,
1956,20.1,13.16,6.25,379.11,0.14,28.92,55.03,15.32,46.28,0.12,Surxondaryo,,,,
1957,18.57,12.01,5.49,457.24,0.06,18.62,51.54,6.73,54.0,0.03,Surxondaryo,,,,
1958,20.34,13.61,6.92,429.22,0.45,26.64,41.74,9.37,49.39,0.08,Surxondaryo,,,,
1959,19.44,12.84,6.26,421.87,0.15,18.11,41.06,6.16,53.85,0.05,Surxondaryo,,,,
1960,19.49,12.72,5.98,539.87,0.63,23.19,51.51,11.06,54.56,0.05,Surxondaryo,,,,
1961,20.85,13.75,6.69,402.3,-0.34,22.18,44.96,12.9,50.72,0.06,Surxondaryo,,,,
1962,20.07,13.23,6.43,424.46,-0.42,17.42,40.66,7.74,52.58,0.04,Surxondaryo,,,,
1963,21.05,14.1,7.2,525.92,0.14,21.6,45.95,8.07,52.3,0.03,Surxondaryo,,,,
1964,18.95,12.16,5.39,487.99,0.95,22.37,46.92,9.53,53.2,0.04,Surxondaryo,,,,
1965,20.41,13.64,6.9,351.12,0.35,24.01,43.92,10.25,53.1,0.03,Surxondaryo,,,,
1966,20.9,14.03,7.2,338.72,-0.69,18.13,36.84,6.14,49.67,0.07,Surxondaryo,,,,
1967,19.81,13.23,6.67,415.82,-0.33,19.9,51.18,10.16,54.01,0.05,Surxondaryo,,,,
1968,19.91,13.41,6.94,439.28,0.23,21.92,56.12,7.94,55.31,0.05,Surxondaryo,,,,
1969,18.06,11.9,5.77,641.3,2.43,29.04,73.56,17.07,59.12,0.03,Surxondaryo,,,,
1970,20.75,13.83,6.95,318.37,-0.32,21.4,35.0,7.58,49.91,0.08,Surxondaryo,,,,
1971,21.14,14.11,7.13,209.75,-1.87,18.78,36.47,7.82,47.92,0.06,Surxondaryo,,,,
1972,17.83,11.41,5.02,485.91,0.25,20.07,44.83,7.14,56.06,0.01,Surxondaryo,,,,
1973,20.3,13.47,6.69,375.58,0.9,29.04,67.78,16.98,53.55,0.09,Surxondaryo,,,,
1974,19.14,12.6,6.09,296.55,-0.58,25.87,44.73,8.2,52.08,0.05,Surxondaryo,,,,
1975,20.08,13.32,6.6,310.23,-0.25,18.28,40.26,6.67,52.0,0.09,Surxondaryo,,,,
1976,19.33,12.96,6.61,424.83,0.52,29.72,49.39,14.17,53.89,0.07,Surxondaryo,,,,
1977,20.28,13.88,7.51,351.25,-0.56,18.14,39.36,6.76,53.09,0.12,Surxondaryo,,,,
1978,20.07,13.59,7.16,419.21,0.25,24.09,43.13,12.3,53.23,0.07,Surxondaryo,,,,
1979,20.42,13.88,7.38,392.55,0.69,24.9,42.49,11.25,53.72,0.08,Surxondaryo,,,,
1980,20.4,13.88,7.4,362.15,-0.11,17.9,39.48,5.66,53.03,0.07,Surxondaryo,,,,
1981,20.55,14.16,7.81,435.19,0.37,20.15,48.78,8.37,55.18,0.04,Surxondaryo,,,,
1982,19.31,12.99,6.7,405.15,0.01,23.84,43.72,10.46,54.86,0.06,Surxondaryo,,,,
1983,21.02,14.3,7.63,329.39,0.09,18.21,39.08,5.97,53.61,0.12,Surxondaryo,,,,
1984,19.2,12.82,6.47,366.06,-0.22,21.19,46.59,7.45,54.67,0.12,Surxondaryo,,,,
1985,20.27,13.67,7.12,329.65,0.04,19.62,40.07,5.51,53.4,0.07,Surxondaryo,,,,
1986,20.36,13.79,7.26,331.65,-0.71,17.75,44.37,5.77,52.71,0.05,Surxondaryo,,,,
1987,20.33,13.9,7.5,433.57,0.7,21.3,54.13,8.91,54.98,0.03,Surxondaryo,,,,
1988,21.05,14.41,7.81,415.01,0.83,28.23,53.95,17.35,54.15,0.1,Surxondaryo,,,,
1989,20.27,13.49,6.76,355.36,-0.14,18.33,44.49,5.74,52.84,0.04,Surxondaryo,,,,
1990,20.66,14.07,7.53,378.84,0.33,16.45,46.97,3.44,55.76,0.08,Surxondaryo,,,,
1991,20.0,13.64,7.33,493.25,0.52,27.83,84.17,12.65,58.07,0.03,Surxondaryo,,,,
1992,19.7,13.39,7.13,483.22,1.79,21.8,53.84,7.74,56.13,0.03,Surxondaryo,,,,
1993,19.12,12.91,6.74,537.24,0.61,21.37,46.76,10.11,55.62,0.05,Surxondaryo,,,,
1994,20.17,13.58,7.03,394.74,0.09,24.9,51.23,7.33,54.27,0.11,Surxondaryo,,,,
1995,21.64,14.58,7.56,297.55,-0.25,21.19,53.46,5.92,51.37,0.09,Surxondaryo,,,,
1996,20.1,13.37,6.66,342.91,-0.29,18.57,53.19,5.82,53.41,0.05,Surxondaryo,,,,
1997,21.16,14.41,7.69,495.61,-0.34,24.04,46.9,9.94,55.02,0.11,Surxondaryo,,,,
1998,20.54,14.08,7.66,585.61,1.48,28.31,68.11,21.34,56.62,0.06,Surxondaryo,,,,
1999,21.33,14.73,8.18,419.12,0.3,32.04,42.05,9.27,55.77,0.05,Surxondaryo,,,,
2000,21.34,14.66,8.02,348.79,-1.53,16.63,32.5,5.1,49.64,0.06,Surxondaryo,,,,
2001,21.51,14.76,8.06,305.49,-2.11,17.05,26.11,3.78,50.03,0.09,Surxondaryo,,,,
2002,21.32,14.59,7.91,514.51,-0.51,26.5,49.99,14.54,54.26,0.09,Surxondaryo,,,,
2003,20.17,13.94,7.75,487.44,0.49,27.67,51.96,17.63,54.29,0.08,Surxondaryo,,,,
2004,21.44,14.96,8.53,452.92,-0.23,20.34,48.18,7.33,52.75,0.06,Surxondaryo,,,,
2005,21.16,14.56,8.0,424.75,0.1,18.81,51.44,7.29,51.56,0.07,Surxondaryo,,,,
2006,21.07,14.53,8.04,408.06,-0.85,22.17,60.36,6.41,52.42,0.11,Surxondaryo,,,,
2007,21.33,14.46,7.63,420.85,-0.77,24.6,62.06,9.61,53.62,0.07,Surxondaryo,,,,
2008,20.91,14.03,7.18,350.96,-1.37,16.91,38.33,4.82,52.6,0.11,Surxondaryo,,,,
2009,21.0,14.34,7.73,601.65,-0.02,27.72,61.76,14.89,54.28,0.06,Surxondaryo,,,,
2010,21.67,14.94,8.25,389.65,0.28,19.78,50.48,6.0,51.6,0.08,Surxondaryo,,,,
2011,20.72,14.09,7.5,395.95,-1.57,22.07,52.48,6.88,50.8,0.16,Surxondaryo,,,,
2012,20.5,13.77,7.07,520.02,0.54,22.75,43.36,7.55,53.51,0.05,Surxondaryo,,,,
2013,21.46,14.83,8.23,458.71,-0.82,16.48,35.42,4.77,51.18,0.13,Surxondaryo,,,,
2014,20.71,13.72,6.76,463.08,-0.63,20.53,47.3,6.91,51.89,0.1,Surxondaryo,,,,
2015,21.45,14.76,8.1,483.1,-0.21,19.2,41.6,7.9,52.91,0.13,Surxondaryo,,,,
2016,22.11,15.23,8.4,458.72,-0.67,17.89,50.3,7.77,49.78,0.11,Surxondaryo,,,,
2017,21.56,14.55,7.56,368.26,-0.48,23.96,60.91,8.79,47.65,0.13,Surxondaryo,,,,
2018,21.56,14.76,8.0,352.64,-1.72,21.75,43.85,8.97,47.88,0.16,Surxondaryo,,,,
2019,21.78,15.14,8.53,551.03,0.31,23.12,49.23,8.66,50.99,0.16,Surxondaryo,,,,
2020,20.69,14.08,7.51,473.06,-0.35,20.85,59.89,7.05,50.73,0.08,Surxondaryo,,,,
2021,22.33,15.32,8.34,317.67,-1.91,17.46,40.94,5.82,43.92,0.17,Surxondaryo,,,,
2022,21.75,15.63,9.55,528.75,-1.64,19.96,55.28,8.08,50.61,0.18,Surxondaryo,,,,
2023,22.77,16.1,9.48,339.05,-1.66,16.69,46.19,5.08,46.69,0.22,Surxondaryo,,,,
2024,21.59,15.22,8.88,527.55,-0.88,19.05,40.9,8.37,51.12,0.18,Surxondaryo,,,,
1901,21.53,14.65,7.81,544.5,,,,,,,Toshkent_shahar,,,,
1902,22.21,15.35,8.52,714.3,,,,,,,Toshkent_shahar,,,,
1903,20.52,13.78,7.09,463.2,,,,,,,Toshkent_shahar,,,,
1904,21.43,14.33,7.28,445.8,,,,,,,Toshkent_shahar,,,,
1905,20.8,14.07,7.37,437.6,,,,,,,Toshkent_shahar,,,,
1906,21.47,14.72,8.01,463.9,,,,,,,Toshkent_shahar,,,,
1907,20.44,13.86,7.31,545.1,,,,,,,Toshkent_shahar,,,,
1908,21.57,14.62,7.72,615.6,,,,,,,Toshkent_shahar,,,,
1909,22.69,15.41,8.17,350.3,,,,,,,Toshkent_shahar,,,,
1910,21.51,14.75,8.06,492.9,,,,,,,Toshkent_shahar,,,,
1911,20.94,14.06,7.25,584.7,,,,,,,Toshkent_shahar,,,,
1912,22.3,14.96,7.64,447.9,,,,,,,Toshkent_shahar,,,,
1913,21.76,14.98,8.28,517.0,,,,,,,Toshkent_shahar,,,,
1914,22.32,15.73,9.2,559.8,,,,,,,Toshkent_shahar,,,,
1915,23.09,16.39,9.75,326.6,,,,,,,Toshkent_shahar,,,,
1916,21.18,14.23,7.33,385.3,,,,,,,Toshkent_shahar,,,,
1917,22.47,15.59,8.74,180.0,,,,,,,Toshkent_shahar,,,,
1918,21.08,13.89,6.74,439.3,,,,,,,Toshkent_shahar,,,,
1919,21.35,13.99,6.64,416.6,,,,,,,Toshkent_shahar,,,,
1920,18.98,13.05,7.15,598.1,,,,,,,Toshkent_shahar,,,,
1921,20.39,14.05,7.74,615.9,,,,,,,Toshkent_shahar,,,,
1922,22.23,15.32,8.46,475.5,,,,,,,Toshkent_shahar,,,,
1923,20.69,13.98,7.28,563.4,,,,,,,Toshkent_shahar,,,,
1924,21.2,14.42,7.66,533.2,,,,,,,Toshkent_shahar,,,,
1925,22.67,15.27,7.92,328.5,,,,,,,Toshkent_shahar,,,,
1926,21.75,15.0,8.31,383.0,,,,,,,Toshkent_shahar,,,,
1927,21.56,14.88,8.25,321.3,,,,,,,Toshkent_shahar,,,,
1928,20.0,13.84,7.71,573.4,,,,,,,Toshkent_shahar,,,,
1929,20.11,13.55,7.02,392.9,,,,,,,Toshkent_shahar,,,,
1930,20.11,13.8,7.52,422.1,,,,,,,Toshkent_shahar,,,,
1931,19.83,13.8,7.81,449.8,,,,,,,Toshkent_shahar,,,,
1932,20.25,14.05,7.88,509.3,,,,,,,Toshkent_shahar,,,,
1933,20.84,14.42,8.05,527.3,,,,,,,Toshkent_shahar,,,,
1934,19.36,13.26,7.21,545.1,,,,,,,Toshkent_shahar,,,,
1935,20.43,13.94,7.51,463.1,,,,,,,Toshkent_shahar,,,,
1936,21.52,14.57,7.65,402.6,,,,,,,Toshkent_shahar,,,,
1937,20.58,13.78,7.02,426.2,,,,,,,Toshkent_shahar,,,,
1938,21.75,14.91,8.12,374.7,,,,,,,Toshkent_shahar,,,,
1939,22.06,15.22,8.4,416.3,,,,,,,Toshkent_shahar,,,,
1940,22.53,15.66,8.84,460.5,,,,,,,Toshkent_shahar,,,,
1941,23.17,16.16,9.22,585.8,,,,,,,Toshkent_shahar,,,,
1942,21.58,14.92,8.29,585.3,,,,,,,Toshkent_shahar,,,,
1943,20.73,14.06,7.42,580.9,,,,,,,Toshkent_shahar,,,,
1944,22.33,15.39,8.5,287.2,,,,,,,Toshkent_shahar,,,,
1945,20.84,14.13,7.46,578.1,,,,,,,Toshkent_shahar,,,,
1946,21.65,14.66,7.71,371.3,,,,,,,Toshkent_shahar,,,,
1947,22.27,15.32,8.41,503.1,,,,,,,Toshkent_shahar,,,,
1948,21.6,14.62,7.69,429.6,,,,,,,Toshkent_shahar,,,,
1949,19.65,13.25,6.88,565.9,,,,,,,Toshkent_shahar,,,,
1950,20.44,13.5,6.57,332.2,,18.03,56.57,5.79,51.42,0.09,Toshkent_shahar,,,,
1951,20.6,14.12,7.67,494.9,-0.82,27.25,60.6,20.58,60.51,0.06,Toshkent_shahar,,,,
1952,21.01,14.5,8.06,579.4,0.63,31.75,60.78,23.52,58.29,0.09,Toshkent_shahar,,,,
1953,20.92,14.6,8.3,758.4,0.35,27.21,64.16,20.94,60.14,0.09,Toshkent_shahar,,,,
1954,20.1,13.61,7.16,468.3,1.25,24.75,81.79,22.22,59.24,0.03,Toshkent_shahar,,,,
1955,22.5,15.5,8.55,464.5,-0.28,32.09,67.81,36.55,53.19,0.15,Toshkent_shahar,,,,
1956,21.42,14.62,7.87,421.5,0.12,51.31,59.11,20.37,54.74,0.13,Toshkent_shahar,,,,
1957,19.97,13.47,7.01,414.0,-0.71,27.17,41.96,9.41,57.58,0.06,Toshkent_shahar,,,,
1958,21.31,14.89,8.52,671.2,0.73,24.09,54.88,10.64,56.83,0.11,Toshkent_shahar,,,,
1959,20.64,14.29,7.98,578.4,0.35,31.24,81.93,18.72,58.26,0.03,Toshkent_shahar,,,,
1960,20.5,14.04,7.63,593.0,0.55,28.77,52.79,21.35,59.58,0.06,Toshkent_shahar,,,,
1961,22.03,15.23,8.47,375.5,-1.11,22.96,51.84,24.56,53.66,0.09,Toshkent_shahar,,,,
1962,21.44,14.83,8.25,472.8,-1.09,24.31,48.33,15.53,57.02,0.12,Toshkent_shahar,,,,
1963,22.27,15.6,8.97,556.5,0.35,26.52,86.95,28.12,60.37,0.04,Toshkent_shahar,,,,
1964,20.22,13.68,7.18,465.8,0.97,37.13,59.75,38.17,56.04,0.05,Toshkent_shahar,,,,
1965,21.66,15.18,8.73,451.6,-0.48,52.54,73.43,17.73,56.23,0.08,Toshkent_shahar,,,,
1966,21.93,15.44,8.98,452.4,-0.89,30.82,50.65,23.72,56.91,0.13,Toshkent_shahar,,,,
1967,21.06,14.8,8.56,532.4,-0.33,32.83,69.74,41.62,60.92,0.05,Toshkent_shahar,,,,
1968,21.04,14.78,8.56,591.7,0.18,27.61,57.5,23.52,58.92,0.1,Toshkent_shahar,,,,
1969,19.27,13.34,7.44,1013.4,2.23,36.95,73.1,32.31,67.08,0.03,Toshkent_shahar,,,,
1970,21.82,15.22,8.66,440.4,0.48,32.33,42.37,13.82,56.96,0.07,Toshkent_shahar,,,,
